DATE,ICSA
2022-07-23,221000
2022-07-30,228000
2022-08-06,221000
2022-08-13,220000
2022-08-20,215000
2022-08-27,210000
2022-09-03,203000
2022-09-10,195000
2022-09-17,202000
2022-09-24,190000
2022-10-01,203000
2022-10-08,207000
2022-10-15,199000
2022-10-22,202000
2022-10-29,202000
2022-11-05,204000
2022-11-12,210000
2022-11-19,220000
2022-11-26,209000
2022-12-03,209000
2022-12-10,209000
2022-12-17,213000
2022-12-24,205000
2022-12-31,205000
2023-01-07,210000
2023-01-14,204000
2023-01-21,204000
2023-01-28,200000
2023-02-04,215000
2023-02-11,220000
2023-02-18,217000
2023-02-25,207000
2023-03-04,230000
2023-03-11,222000
2023-03-18,230000
2023-03-25,234000
2023-04-01,217000
2023-04-08,220000
2023-04-15,223000
2023-04-22,209000
2023-04-29,213000
2023-05-06,223000
2023-05-13,225000
2023-05-20,227000
2023-05-27,229000
2023-06-03,252000
2023-06-10,256000
2023-06-17,259000
2023-06-24,236000
2023-07-01,248000
2023-07-08,230000
2023-07-15,229000
2023-07-22,231000
2023-07-29,238000
2023-08-05,258000
2023-08-12,248000
2023-08-19,240000
2023-08-26,234000
2023-09-02,225000
2023-09-09,225000
2023-09-16,211000
2023-09-23,216000
2023-09-30,216000
2023-10-07,210000
2023-10-14,200000
2023-10-21,214000
2023-10-28,217000
2023-11-04,216000
2023-11-11,230000
2023-11-18,213000
2023-11-25,213000
2023-12-02,215000
2023-12-09,203000
2023-12-16,209000
2023-12-23,212000
2023-12-30,200000
2024-01-06,201000
2024-01-13,195000
2024-01-20,224000
2024-01-27,226000
2024-02-03,213000
2024-02-10,213000
2024-02-17,202000
2024-02-24,212000
2024-03-02,213000
2024-03-09,213000
2024-03-16,213000
2024-03-23,214000
2024-03-30,223000
2024-04-06,213000
2024-04-13,212000
2024-04-20,209000
2024-04-27,207000
2024-05-04,230000
2024-05-11,222000
2024-05-18,216000
2024-05-25,220000
2024-06-01,227000
2024-06-08,240000
2024-06-15,236000
2024-06-22,233000
2024-06-29,238000
2024-07-06,223000
2024-07-13,241000
2024-07-20,237000
2024-07-27,248000
2024-08-03,234000
2024-08-10,228000
2024-08-17,232000
2024-08-24,232000
2024-08-31,227000
2024-09-07,227000
2024-09-14,223000
2024-09-21,221000
2024-09-28,227000
2024-10-05,258000
2024-10-12,241000
2024-10-19,227000
2024-10-26,219000
2024-11-02,221000
2024-11-09,218000
2024-11-16,216000
2024-11-23,219000
2024-11-30,222000
2024-12-07,238000
2024-12-14,222000
2024-12-21,219000
2024-12-28,212000
2025-01-04,206000
2025-01-11,219000
2025-01-18,223000
2025-01-25,212000
2025-02-01,220000
2025-02-08,216000
2025-02-15,223000
2025-02-22,241000
2025-03-01,224000
2025-03-08,222000
2025-03-15,225000
2025-03-22,224000
2025-03-29,220000
2025-04-05,223000
2025-04-12,217000
2025-04-19,224000
2025-04-26,239000
2025-05-03,228000
2025-05-10,226000
2025-05-17,225000
2025-05-24,236000
2025-05-31,244000
2025-06-07,246000
2025-06-14,243000
2025-06-21,236000
2025-06-28,231000
2025-07-05,228000
2025-07-12,221000
2025-07-19,218000
2025-07-26,219000
2025-08-02,226000
2025-08-09,224000
2025-08-16,233000
2025-08-23,229000
2025-08-30,236000
2025-09-06,259000
2025-09-13,233000
2025-09-20,219000
2025-09-27,225000
2025-10-04,233000
2025-10-11,222000
2025-10-18,231000
2025-10-25,221000
2025-11-01,228000
2025-11-08,228000
2025-11-15,222000
2025-11-22,218000
2025-11-29,216000
2025-12-06,235000
2025-12-13,224000
2025-12-20,215000
2025-12-27,203000
2026-01-03,207000
2026-01-10,201000
2026-01-17,210000
2026-01-24,211000
2026-01-31,230000
2026-02-07,230000
2026-02-14,208000
2026-02-21,211000
2026-02-28,214000
2026-03-07,213000
2026-03-14,205000
2026-03-21,211000
2026-03-28,203000
2026-04-04,218000
2026-04-11,208000
2026-04-18,215000
2026-04-25,190000
2026-05-02,199000
2026-05-09,212000
2026-05-16,210000
2026-05-23,212000
2026-05-30,225000
2026-06-06,230000
2026-06-13,227000
2026-06-20,216000
2026-06-27,217000
2026-07-04,217000
2026-07-11,209000
2026-07-18,187000
